Species,Occupancy,Year,Body Mass,Diet,Social,Habitat,Activity,Litter,Study Year,Tot.Prec,FL_VB,FL_ZOI,FM_ZOI_90
Conepatus semistriatus,0.02004008,2007,0.07918125,Omnivore,Solitary/pairs,terrestrial,Nocturnal,3.5,1,1819.1,0.53037,1036.7116,99.52422
Cuniculus paca,0.766666667,2007,0.91803034,Frugivore,Solitary/pairs,terrestrial,Nocturnal,1.5,1,1819.1,0.53037,1036.7116,99.52422
Dasyprocta punctata,0.683333333,2007,0.5563025,Frugivore,Solitary/pairs,terrestrial,Diurnal,1.9,1,1819.1,0.53037,1036.7116,99.52422
Dasypus novemcinctus,0.75,2007,0.62324929,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,4,1,1819.1,0.53037,1036.7116,99.52422
Didelphis marsupialis,0.122244489,2007,0.0374265,Omnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,5.1,1,1819.1,0.53037,1036.7116,99.52422
Eira barbara,0.034068136,2007,0.59217676,Zoophage,Coalitions,scansorial,Diurnal,2,1,1819.1,0.53037,1036.7116,99.52422
Leopardus pardalis,0.174348697,2007,1.07554696,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,1.63,1,1819.1,0.53037,1036.7116,99.52422
Leopardus wiedii,0.02004008,2007,0.51188336,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.5,1,1819.1,0.53037,1036.7116,99.52422
Mazama temama,0.233333333,2007,1.35793485,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1.2,1,1819.1,0.53037,1036.7116,99.52422
Metachirus nudicaudatus,0.006012024,2007,-0.42596873,Insectivore,Solitary/pairs,terrestrial,Nocturnal,5,1,1819.1,0.53037,1036.7116,99.52422
Nasua narica,0.104208417,2007,0.60530505,Omnivore,Gregarious,scansorial,Diurnal,4.17,1,1819.1,0.53037,1036.7116,99.52422
Odocoileus virginianus,0.006012024,2007,1.74429298,Browser,Family groups,terrestrial,Crepuscular,1.7,1,1819.1,0.53037,1036.7116,99.52422
Panthera onca,0.006012024,2007,2,Carnivore,Solitary/pairs,scansorial,Crepuscular,2,1,1819.1,0.53037,1036.7116,99.52422
Pecari tajacu,0.533333333,2007,1.26717173,Browser/Frugivore,Gregarious,terrestrial,Diurnal,2,1,1819.1,0.53037,1036.7116,99.52422
Philander opossum,0.006012024,2007,-0.3757179,Omnivore,Solitary/pairs,scansorial,Nocturnal,4.5,1,1819.1,0.53037,1036.7116,99.52422
Procyon lotor,0.006012024,2007,0.74233228,Omnivore,Solitary/pairs,scansorial,Nocturnal,4,1,1819.1,0.53037,1036.7116,99.52422
Proechimys semispinosus,0.070140281,2007,-0.4424928,Frugivore,Solitary/pairs,scansorial,Nocturnal,2.5,1,1819.1,0.53037,1036.7116,99.52422
Puma concolor,0.088176353,2007,1.7126497,Carnivore,Solitary/pairs,scansorial,Nocturnal,2.9,1,1819.1,0.53037,1036.7116,99.52422
Puma yagouaroundi,0.02004008,2007,0.92427929,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.9,1,1819.1,0.53037,1036.7116,99.52422
Sciurus granatensis,0.006012024,2007,-0.60205999,Frugivore,Solitary/pairs,scansorial,Diurnal,1.9,1,1819.1,0.53037,1036.7116,99.52422
Tapirus bairdii,0.533333333,2007,2.38021124,Browser,Solitary/pairs,terrestrial,Nocturnal,1,1,1819.1,0.53037,1036.7116,99.52422
Conepatus semistriatus,0.006012024,2008,0.07918125,Omnivore,Solitary/pairs,terrestrial,Nocturnal,3.5,2,2053.96,1.74251,2189.0863,101.3433
Cuniculus paca,0.55,2008,0.91803034,Frugivore,Solitary/pairs,terrestrial,Nocturnal,1.5,2,2053.96,1.74251,2189.0863,101.3433
Dasyprocta punctata,0.4,2008,0.5563025,Frugivore,Solitary/pairs,terrestrial,Diurnal,1.9,2,2053.96,1.74251,2189.0863,101.3433
