Scientific Name,Body Mass (kg),Diet,Social Group,Habitat,Activity Period,Average Litter Size
Mazama temama,1.357934847,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1.2
Odocoileus virginianus,1.744292983,Browser,Family groups,terrestrial,Crepuscular,1.7
Cuniculus paca,0.918030337,Frugivore,Solitary/pairs,terrestrial,Nocturnal,1.5
Dasypus novemcinctus,0.62324929,Insectivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,4
Dasyprocta punctata,0.556302501,Frugivore,Solitary/pairs,terrestrial,Diurnal,1.9
Didelphis marsupialis,0.037426498,Omnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,5.1
Metachirus nudicaudatus,-0.425968732,Insectivore,Solitary/pairs,terrestrial,Nocturnal,5
Philander opossum,-0.375717904,Omnivore,Solitary/pairs,scansorial,Nocturnal,4.5
Proechimys semispinosus,-0.442492798,Frugivore,Solitary/pairs,scansorial,Nocturnal,2.5
Leopardus pardalis,1.075546961,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,1.63
Leopardus wiedii,0.511883361,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.5
Panthera onca,2,Carnivore,Solitary/pairs,scansorial,Crepuscular,2
Puma concolor,1.712649702,Carnivore,Solitary/pairs,scansorial,Nocturnal,2.9
Puma yagouaroundi,0.924279286,Carnivore,Solitary/pairs,scansorial,Non-restricted,1.9
Conepatus semistriatus,0.079181246,Omnivore,Solitary/pairs,terrestrial,Nocturnal,3.5
Eira barbara,0.592176757,Zoophage,Coalitions,scansorial,Diurnal,2
Nasua narica,0.605305046,Omnivore,Gregarious,scansorial,Diurnal,4.17
Procyon lotor,0.742332282,Omnivore,Solitary/pairs,scansorial,Nocturnal,4
Sciurus granatensis,-0.602059991,Frugivore,Solitary/pairs,scansorial,Diurnal,1.9
Tapirus bairdii,2.380211242,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Pecari tajacu,1.267171728,Browser/Frugivore,Gregarious,terrestrial,Diurnal,2
