Species,2007,2008,2009,2010,2011,2012,2013,2014
Conepatus semistriatus,0.02004008,0.006012024,0.02004008,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024
Cuniculus paca,0.766666667,0.55,0.45,0.366666667,0.333333333,0.3,0.25,0.266666667
Dasyprocta punctata,0.683333333,0.4,0.333333333,0.366666667,0.433333333,0.283333333,0.266666667,0.25
Dasypus novemcinctus,0.75,0.583333333,0.4,0.333333333,0.266666667,0.316666667,0.333333333,0.333333333
Didelphis marsupialis,0.122244489,0.118236473,0.056112224,0.054108216,0.118236473,0.022044088,0.052104208,0.02004008
Eira barbara,0.034068136,0.02004008,0.006012024,0.054108216,0.068136273,0.006012024,0.036072144,0.02004008
Leopardus pardalis,0.174348697,0.102204409,0.090180361,0.036072144,0.118236473,0.04008016,0.068136273,0.056112224
Leopardus wiedii,0.02004008,0.02004008,0.006012024,0.02004008,0.052104208,0.022044088,0.006012024,0.006012024
Mazama temama,0.233333333,0.316666667,0.416666667,0.5,0.5,0.533333333,0.55,0.566666667
Metachirus nudicaudatus,0.006012024,0.02004008,0.006012024,0.02004008,0.006012024,0.006012024,0.006012024,0.006012024
Nasua narica,0.104208417,0.118236473,0.090180361,0.036072144,0.034068136,0.06012024,0.068136273,0.02004008
Odocoileus virginianus,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024,0.036072144,0.006012024
Panthera onca,0.006012024,0.006012024,0.02004008,0.006012024,0.018036072,0.022044088,0.018036072,0.006012024
Pecari tajacu,0.533333333,0.533333333,0.483333333,0.5,0.533333333,0.516666667,0.616666667,0.55
Philander opossum,0.006012024,0.02004008,0.006012024,0.006012024,0.018036072,0.006012024,0.006012024,0.02004008
Procyon lotor,0.006012024,0.006012024,0.006012024,0.006012024,0.018036072,0.006012024,0.006012024,0.006012024
Proechimys semispinosus,0.070140281,0.086172345,0.006012024,0.02004008,0.006012024,0.006012024,0.006012024,0.006012024
Puma concolor,0.088176353,0.086172345,0.036072144,0.02004008,0.018036072,0.04008016,0.118236473,0.074148297
Puma yagouaroundi,0.02004008,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024
Sciurus granatensis,0.006012024,0.034068136,0.006012024,0.006012024,0.018036072,0.006012024,0.006012024,0.006012024
Tapirus bairdii,0.533333333,0.633333333,0.616666667,0.583333333,0.55,0.516666667,0.45,0.3
